nombre_modulo,programa,no_clase,no_alumnos
Economía del Comportamiento,Maestría en Comunicaciones de Marca,10921,6
Economía del Comportamiento,Maestría en Comunicaciones de Marca,11554,16
Comunicación de Crisis,Maestría en Comunicaciones de Marca,11556,20
Comunicación Ética para el Cam,Especialidad en Relaciones Públicas y Reputación de Marca,11548,6
Estrategia de Comunicación y P,Maestría en Comunicaciones de Marca,11563,28
Seminario de Titulación,Maestría en Comunicaciones de Marca,10925,3
"Modelos de Análisis, Medición",Maestría en Comunicaciones de Marca,11557,36
"Modelos de Análisis, Medición",Especialidad en Relaciones Públicas y Reputación de Marca,11549,36
Datos e Inteligencia del Consu,Especialidad en Publicidad y Creación de Contenidos,1037,36
Datos e Inteligencia del Consu,Maestría en Comunicaciones de Marca,1046,36
Seminario de Titulación,Maestría en Comunicaciones de Marca,12136,0
Manejo de Big Data,Maestría en Comunicación Institucional,9934,5
Comunicación directiva,Maestría en Comunicación Institucional,1118,5
Comunicación Financiera,Maestría en Comunicación Institucional,1116,5
Comunicación en situaciones de crisis,Maestría en Comunicación Institucional,1119,5
Seminario de Titulación,Maestría en Comunicación Institucional,1120,5
Comunicación integrada,Maestría en Comunicación Institucional,1164,8
Diseño y gestión de contenidos,Maestría en Comunicación Institucional,1163,8
Ética de la Comunicación,Maestría en Comunicación Institucional,1165,8
Ética de la Comunicación,Maestría en Comunicación Política y Pública,1104,6
Seminario de Titulación,Maestría en Comunicación Política y Pública,1105,6
Opinión Pública y Comunicación,Maestría en Comunicación Política y Pública,1171,9
Comunicación y persuasión,Maestría en Comunicación Política y Pública,1172,9
Estrategias para Campañas Polí,Maestría en Comunicación Política y Pública,1173,9
Diplomacia Pública y Cultural,Maestría en Comunicación Política y Pública,1175,9
Ética de la Comunicación,Maestría en Narrativa y Producción Audiovisual,1097,5
Seminario de Titulación,Maestría en Narrativa y Producción Audiovisual,1098,5
Desarrollo de Contenidos Audio,Maestría en Narrativa y Producción Audiovisual,1157,4
Empresa Audiovisual y Marco No,Maestría en Narrativa y Producción Audiovisual,1158,4
Procesos de Producción,Maestría en Narrativa y Producción Audiovisual,1160,4
Paradigmas Artísticos en el D,Maestría en Narrativa y Producción Audiovisual,1159,4
